model,meeting,theme,block_id_standard,block_id_exclusive,score_standard,score_exclusive,abs_delta,crosses_half
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,5,5,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,5,5,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,5,5,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,6,6,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,6,6,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,6,6,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,6,6,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,9,9,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,9,9,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,9,9,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,9,9,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,10,10,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,10,10,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,10,10,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,10,10,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,11,11,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,11,11,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,11,11,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,11,11,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,12,12,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,12,12,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,12,12,0.7,0.7,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,12,12,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,13,13,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,13,13,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,13,13,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,13,13,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,14,14,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,14,14,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,14,14,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,14,14,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,15,15,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,15,15,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,15,15,0.7,0.7,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,15,15,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,16,16,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,16,16,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,16,16,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,16,16,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,17,17,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,17,17,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,17,17,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,17,17,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,21,21,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,21,21,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,21,21,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,21,21,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,22,22,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,22,22,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,22,22,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,22,22,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,23,23,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,23,23,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,23,23,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,23,23,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,24,24,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,24,24,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,24,24,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,24,24,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,25,25,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,25,25,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,25,25,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,25,25,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,26,26,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,26,26,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,26,26,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,26,26,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,27,27,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,27,27,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,27,27,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,27,27,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,28,28,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,28,28,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,28,28,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,28,28,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,29,29,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,29,29,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,29,29,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,29,29,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,30,30,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,30,30,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,30,30,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,30,30,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,31,31,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,31,31,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,31,31,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,31,31,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,32,32,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,32,32,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,32,32,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,32,32,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,33,33,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,33,33,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,33,33,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,33,33,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,34,34,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,34,34,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,34,34,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,34,34,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,35,35,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,35,35,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,35,35,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,35,35,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,36,36,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,36,36,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,36,36,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,36,36,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,37,37,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,37,37,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,37,37,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,37,37,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,38,38,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,38,38,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,38,38,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,38,38,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,39,39,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,39,39,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,39,39,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,39,39,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,40,40,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,40,40,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,40,40,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,40,40,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,41,41,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,41,41,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,41,41,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,41,41,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,42,42,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,42,42,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,42,42,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,42,42,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,43,43,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,43,43,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,43,43,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,43,43,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,44,44,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,44,44,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,44,44,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,44,44,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,45,45,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,45,45,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,45,45,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,45,45,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,46,46,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,46,46,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,46,46,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,46,46,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,47,47,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,47,47,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,47,47,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,47,47,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,48,48,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,48,48,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,48,48,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,48,48,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,49,49,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,49,49,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,49,49,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,49,49,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,50,50,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,50,50,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,50,50,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,50,50,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,51,51,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,51,51,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,51,51,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,51,51,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,52,52,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,52,52,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,52,52,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,52,52,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,53,53,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,53,53,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,53,53,0.0,0.0,0.0,0
