meeting,block_id,direction,text
"City Council Committee Meeting - May 5, 2025 [aG_PgLEdQ8s]_exclusive",20,dropped_in_rerun,my questions very briefly councillor Ahmed thank you it's a good question I just wanted to note as part of any land development project that is part of the consideration what what typically happens is the city will take a an amount of money in escrow to protect any of the public assets so if a sidew
"City Council Committee Meeting - May 5, 2025 [aG_PgLEdQ8s]_standard",20,dropped_in_rerun,my questions very briefly councillor Ahmed thank you it's a good question I just wanted to note as part of any land development project that is part of the consideration what what typically happens is the city will take a an amount of money in escrow to protect any of the public assets so if a sidew
"City Council Committee Meeting - November 3, 2025 [nE5HiAtqwpA]",146,dropped_in_rerun,other pen best financings do they encourage the 30-year repayment schedule or is that something we have optionality and is this just like the best timetable for this particular loan I'm curious about that yeah I mean they offer the terms with 1% interest sometimes it's worth looking at those a littl
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]",77,dropped_in_rerun,"i guess i'll say we're tasked to review applications whether they meet uh the secretary of the junior group standards and the design standards and we're not REALLY TASKED WITH PROVIDING DESIGN SOLUTIONS OR RECOMMENDATIONS AT THIS POINT IN TIME, AND I WOULD FIND THAT PRETTY DIFFICULT WITH THIS APPLIC"
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]",80,dropped_in_rerun,"THE HISTORICAL COMMISSION JUST LOOKS AT WHAT IS PRESENTED TO US. SO WE WERE PRESENTED WITH A DEMOLITION REQUEST AFTER THE FACT, AFTER IT WAS ALREADY DEMOLISHED, AND THEN WITH THE DESIGN. IF IT CAME TO US, LIKE JUST AS A BLUEPRINT, WE WOULD DENY IT. SO THAT'S WHY WE DENIED IT AS BUILT. AND I WILL SAY"
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]",94,dropped_in_rerun,"10-fold. Dan, I'm sorry, you may need to hit that button to turn your mic on. You're very good at projecting, but that's it. Thank you. Great. I'm here on behalf of 10-fold requesting $100,000 from the local shares account to purchase a 15-passenger van. This van will directly support client service"
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]",97,dropped_in_rerun,wonderful perfect again I'm Jen and the purpose of the statewide LSA program is to reinvest gaming funds into projects in the communities to improve quality of life across Pennsylvania so specifically these grants range anywhere from twenty five thousand to one million dollars and there's no local m
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]",177,added_in_rerun,"Some other question I'd ask is, could we also possibly spend better money by installing more opticons on the streetlights for emergency response vehicles? I know that a lot of the streets of the city, especially around the hospital, where there are a lot of emergency response vehicles, they don't ha"
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]_exclusive",183,dropped_in_rerun,"So the question is, could the, what these cameras ticket be changed in the future? only with legislative changes for at the state level okay now the this in chicago they changed the timing of yellow lights they shortened the yellow lights to increase um the by a tenth of a second is is there any cha"
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]_exclusive",198,dropped_in_rerun,definitely do not feel comfortable with this given all of those concerns and not getting
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]_exclusive",80,added_in_rerun,"THE HISTORICAL COMMISSION JUST LOOKS AT WHAT IS PRESENTED TO US. SO WE WERE PRESENTED WITH A DEMOLITION REQUEST AFTER THE FACT, AFTER IT WAS ALREADY DEMOLISHED, AND THEN WITH THE DESIGN. IF IT CAME TO US, LIKE JUST AS A BLUEPRINT, WE WOULD DENY IT. SO THAT'S WHY WE DENIED IT AS BUILT. AND I WILL SAY"
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]_exclusive",185,added_in_rerun,by pen dot okay um appreciate it because i've i've been hit twice in a crosswalk walking on green so i definitely uh in very um want to see more safety in crosswalks but at the same time you know i've heard some good good comments here don't want to make sure that we're exacerbating
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]_exclusive",189,added_in_rerun,public safety committee my questions were was there any legal review of this resolution when
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]_exclusive",213,added_in_rerun,a second so to be clear because my question with the tabling is you know when are we tabling this till you know what steps are going to be taken by the chair of this committee uh in that time um and i i don't want us to continue to keep coming to this conversation about the same root flawed issues w
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]_standard",183,dropped_in_rerun,"So the question is, could the, what these cameras ticket be changed in the future? only with legislative changes for at the state level okay now the this in chicago they changed the timing of yellow lights they shortened the yellow lights to increase um the by a tenth of a second is is there any cha"
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]_standard",80,added_in_rerun,"THE HISTORICAL COMMISSION JUST LOOKS AT WHAT IS PRESENTED TO US. SO WE WERE PRESENTED WITH A DEMOLITION REQUEST AFTER THE FACT, AFTER IT WAS ALREADY DEMOLISHED, AND THEN WITH THE DESIGN. IF IT CAME TO US, LIKE JUST AS A BLUEPRINT, WE WOULD DENY IT. SO THAT'S WHY WE DENIED IT AS BUILT. AND I WILL SAY"
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]_standard",185,added_in_rerun,by pen dot okay um appreciate it because i've i've been hit twice in a crosswalk walking on green so i definitely uh in very um want to see more safety in crosswalks but at the same time you know i've heard some good good comments here don't want to make sure that we're exacerbating
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]_standard",189,added_in_rerun,public safety committee my questions were was there any legal review of this resolution when
"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_exclusive",68,added_in_rerun,contracting with lebanon county and we actually had an incident since they took over that we've that we worked together on it went very seamless we don't see a difference so far but we're looking forward to the future thank you and that concludes my questions
"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",68,added_in_rerun,contracting with lebanon county and we actually had an incident since they took over that we've that we worked together on it went very seamless we don't see a difference so far but we're looking forward to the future thank you and that concludes my questions
"City Council Ethics Code Work Session - November 6, 2025 [VZRKugPc6QU]",156,dropped_in_rerun,that makes sense thank you and again that's a preservation of resources um and also um protecting those who are complained about from a process that shouldn't happen if there's nothing that's been presented that it's on its face leaves one to believe it should it should continue
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",23,dropped_in_rerun,"will keifer mr keifer good evening good evening city council and mayor sirachi thanks for having having me in tonight, I will add to this discussion. I just want to paint a picture of some really important work being done collaboratively between the organization that I lead, which is Benchmark Progr"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",99,added_in_rerun,motion and a second that's all right thank you this resolution for 20 or excuse me this resolution is similar to resolution number 25 um except this is for uh this pertains to the 2022 water fund um the adjustments total 5.3 million dollars thank you very much council
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",100,added_in_rerun,royals so to reiterate funds in the water for use for capital projects in the water fund funds that were left over that were not used um not needed after projects were completed and being reallocated to other projects on the list for the water fund that is correct council president thank you very mu
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",23,dropped_in_rerun,"will keifer mr keifer good evening good evening city council and mayor sirachi thanks for having having me in tonight, I will add to this discussion. I just want to paint a picture of some really important work being done collaboratively between the organization that I lead, which is Benchmark Progr"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",102,dropped_in_rerun,just got completed in now in 2024 and we found out that this money is left over yes projects do take several years right and now okay let me ask you a little bit differently right i don't think you're following me so in 2018 we had projects that were we took out bonds for the sewer and those project
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",188,added_in_rerun,"Okay, well it's my time, so I wish Art Morris was here so I can just clearly state that has anyone ever seen the one-wheel bikers that are cross, go throughout our streets, that basically interfere with traffic, they run in and out of cars, I know you all seen them, it's one-wheel bike and there's a"
"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",112,dropped_in_rerun,i'm from the 100 block of north mary and i didn't initially come to see all of the capital plan but i'm glad i did because a lot of it was actually really interesting and helpful and there also are parts of that that i think apply to the data center one of which is spending four hundred thousand dol
"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",113,dropped_in_rerun,mitchell uh 400 block of east grant street um and i also wasn't planning on speaking today so i'm just gonna kind of go for it and say what's in my heart um i just hearing the report from president vacay uh with a lot of those really sort of nice comforting uh details about you know the cooling span
"City Council Meeting - July 8, 2025 [wfwoElJE10U]",11,dropped_in_rerun,I'd also like to take a minute here just for a few remarks on on the city's parks and recreation and this resolution I'd like to recognize the city's expansion of programming in Yule Park and bins or Yule Plaza and bins Park weekly programming scheduled for Yule bins includes a kids fitness class ha
"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_exclusive",104,dropped_in_rerun,tonight certainly i have nothing additional to add but glad to take any questions members of
"City Council Meeting - June 24, 2025 [oisLME2wIuo]",46,dropped_in_rerun,they're happening now as well thank you that was very thorough and you kind of alluded to my final question with that additional 51.8 million what is the budgetary impact on you know future projections and was that included with
"City Council Meeting - June 24, 2025 [oisLME2wIuo]",45,added_in_rerun,can i just add briefly um two things one is this um tool that um steve mentioned earlier that we have now is is wonderful we've been very excited about it um but it's also helping us to prioritize projects so um i talked about this in the fall and we can talk more about it in july but we also focus 
"City Council Meeting - March 11, 2025 [fWjyrXs1ebs]_exclusive",41,added_in_rerun,Marshall Miller.
"City Council Meeting - March 11, 2025 [fWjyrXs1ebs]_standard",41,added_in_rerun,Marshall Miller.
"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]_exclusive",88,dropped_in_rerun,public comment starting bird did you say you're waiting on a report and you're hoping you have that report by the april meeting i didn't quite understand that uh yes the last meeting of the
"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]_exclusive",92,dropped_in_rerun,will be here for that meeting thank you i really appreciate that and i just want to second uh the bill number 8 2020 to be adopted and looked at by council respectfully i'm just reiterating that you
"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]_exclusive",89,added_in_rerun,council i made a motion to table this resolution that was passed unanimously i made that motion into thinking that the report that was requested would happen this evening and given that the community has requested to table it further i will make that motion to table until the april legislative agend
"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]_standard",58,dropped_in_rerun,I got a little too close here sorry so my name is Brian Nelson I live off of Columbia Avenue I'm right outside Lancaster City and so I completely understand kind of your guys's point when you're talking about you know the bonds and stuff like that but did you guys do any due diligence at all and I u
"City Council Meeting - May 13, 2025 [eDkBOrErMeE]_exclusive",88,added_in_rerun,COUNCIL COMMENTS ON THE BILL COUNCILOR DIAZ FOR MY PRESIDENT HOW MUCH OF THE REAL ESTATE AGENT WILL RECEIVE THE PERCENTAGE THAT THEY'LL RECEIVE FOR THE SALE I BELIEVE THAT'S UH TO BE
"City Council Meeting - May 13, 2025 [eDkBOrErMeE]_exclusive",125,added_in_rerun,and these uh affordable housing restrictions i i would say for sacca development i it's 15 years but they are are always renewed saka development has always renewed their affordable housing stipulations to concur with the hud guidelines of the same so that is why properties throughout the city that 
"City Council Meeting - May 13, 2025 [eDkBOrErMeE]_exclusive",188,added_in_rerun,hope it does I look forward to seeing a resolution from City Council to raise minimum wage in the city of Lancaster way past $15 an hour and additionally to raise the minimum wage for tipped workers as well because there is no way that they are getting paid a living wage that's thank you i hope we g
"City Council Meeting - May 13, 2025 [eDkBOrErMeE]_standard",88,added_in_rerun,COUNCIL COMMENTS ON THE BILL COUNCILOR DIAZ FOR MY PRESIDENT HOW MUCH OF THE REAL ESTATE AGENT WILL RECEIVE THE PERCENTAGE THAT THEY'LL RECEIVE FOR THE SALE I BELIEVE THAT'S UH TO BE
"City Council Meeting - May 13, 2025 [eDkBOrErMeE]_standard",125,added_in_rerun,and these uh affordable housing restrictions i i would say for sacca development i it's 15 years but they are are always renewed saka development has always renewed their affordable housing stipulations to concur with the hud guidelines of the same so that is why properties throughout the city that 
"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_exclusive",57,added_in_rerun,bragging rights thank you mayor and i just appreciate so much your support and how much you've talked us up because it has helped in a lot of different a lot of different areas and the resources that we've received we are one of the top performing we actually um you know as i mentioned we decreased 
"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",70,added_in_rerun,much hello hello if you have any questions regarding the sewage module i can um provide
"City Council Meeting - October 28, 2025 [Ffwwu-vf22M]",38,dropped_in_rerun,Continued altercations of upset neighbors and the business owner. The upset neighbors continue to confront the business owner in a physical and upset manner. How could the city provide protections for a one single business and not favor the more than 40 families in the neighborhood affected by this 
"City Council Meeting - October 28, 2025 [Ffwwu-vf22M]",20,added_in_rerun,there but certainly calling out the inclusion of accountability and mechanisms to ensure that the agreement is honored and lastly i would call out that the events surrounding the data center in general have broken my trust and my confidence and i would ask that everyone sitting on this council think
"City Council Special Meeting - November 20, 2025 [aZVPtb9bsEE]",259,dropped_in_rerun,respectfully urge you to approve the community benefits agreement and we are here to support you
"City Council Special Meeting - November 20, 2025 [aZVPtb9bsEE]",260,dropped_in_rerun,thank you for your time and consideration thank you good evening tony dastro 700 block new holland
"City Council Special Meeting - November 20, 2025 [aZVPtb9bsEE]",218,added_in_rerun,for either of these properties thank you I would like to follow up with a question so they can still apply through the county is that correct or not the way the application process works is they apply through the city and then the application goes to the county tax office we're the first line that d
"City Council Special Meeting - November 20, 2025 [aZVPtb9bsEE]",253,added_in_rerun,if it is this important and if it is this this big I think the community deserves more time to review it and make suggestions if there could be that allowance to be made that would be great I don't as a I don't know as a parent of
"City Council Special Meeting - November 20, 2025 [aZVPtb9bsEE]",254,added_in_rerun,two kids I don't appreciate somebody going through a long presentation of all the benefits and then saying at the end if you say no you get nothing that feels not like they wish to be invested in the community that they wish to say take this so that we can take whatever we want it doesn't feel like 
"Planning Commission - August 6, 2025 [m50W4pVkNb4]_exclusive",129,dropped_in_rerun,square footage of these units um good question
"Planning Commission - August 6, 2025 [m50W4pVkNb4]_exclusive",130,added_in_rerun,will these be rental or for sale units okay so uh not opposed to not providing
"Planning Commission - August 6, 2025 [m50W4pVkNb4]_exclusive",131,added_in_rerun,off-street parking because we do need to progress towards a less car-centric world um with the size of these so roughly 600 square feet them being single family dwellings like almost end up being a rental like do you have any indication of uh is this really going to be families or non-family units b
"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_exclusive",68,dropped_in_rerun,forward in light of transparency are we able to put this schedule that's on the bullet on the faq page just so it's easily accessible by the public to be able to see when these milestones are being met and to know when um key participation opportunities will present themselves what does it mean you 
"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_exclusive",96,added_in_rerun,"waiting game yeah and I'll close with one final statement I think it would be great as a group to kind of come back and maybe huddle up I don't know what you want to call it on the comprehensive plan it's just been a while since I I think we've kind of discussed the goals, objectives, and I think ju"
"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",88,added_in_rerun,very briefly just to clarify I think some of my earlier comments and questions that my only purpose really to suggest some of the things we talked about was really in the interest of public education I certainly did not want to give the impression that was in any way trying to undermine the credibil
"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",99,added_in_rerun,"waiting game yeah and I'll close with one final statement I think it would be great as a group to kind of come back and maybe huddle up I don't know what you want to call it on the comprehensive plan it's just been a while since I I think we've kind of discussed the goals, objectives, and I think ju"
"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]_standard",155,added_in_rerun,it's extensive have you all read it i've read much of it and what i what i'm finding though is that it may be a again this may be a situation that we as a traffic commission don't have jurisdiction because it is not part of the public right of way because it's not what part of the
"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]_standard",182,added_in_rerun,oversize again the way the organs is written the overweight and oversized it is about the weight it's not the overall dimension of the vehicle it's so it's the weight of the vehicle these vehicles are not blocking any sight lines or near a stop sign or anything like that causing a hazard or preventi
"Traffic Commission Meeting - November 11, 2025 [Wof-B6HAg2g]",27,added_in_rerun,daylighting at the intersection using paint and flex posts some additional signage to clarify that it is a two-way stop and that traffic from the Fairview Avenue approach doesn't have to stop and then we were also looking to add do not
"Traffic Commission Meeting - November 11, 2025 [Wof-B6HAg2g]",87,added_in_rerun,i hope so you might as well keith radicek lakers parking authority how many net spaces would have
"Traffic Commission Meeting - November 11, 2025 [Wof-B6HAg2g]",106,added_in_rerun,public in the introduction to the issue yes please and again your name and block of residence hey I'm Steve Farina I live on the 400 block of Lancaster Avenue so
