meeting,blocks_total,flagged_baseline,flagged_rerun,count_delta,added,dropped,changed,jaccard,identical
"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_exclusive",103,14,14,0,1,1,2,0.8667,0
"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",106,11,13,2,2,0,2,0.8462,0
"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]_standard",193,36,38,2,2,0,2,0.9474,0
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",247,35,36,1,1,0,1,0.9722,0
"City Council Committee Meeting - July 1, 2025 [GduwovKQ8ek]_standard",67,5,6,1,1,0,1,0.8333,0
"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]_exclusive",53,12,13,1,1,0,1,0.9231,0
"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]_standard",51,11,12,1,1,0,1,0.9167,0
"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]_standard",153,32,31,-1,0,1,1,0.9688,0
"City Council Committee Meeting - May 5, 2025 [aG_PgLEdQ8s]_exclusive",78,13,12,-1,0,1,1,0.9231,0
"City Council Committee Meeting - May 5, 2025 [aG_PgLEdQ8s]_standard",77,13,12,-1,0,1,1,0.9231,0
"City Council Committee Meeting - November 3, 2025 [nE5HiAtqwpA]",447,52,51,-1,0,1,1,0.9808,0
"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_exclusive",94,20,21,1,1,0,1,0.9524,0
"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",94,21,22,1,1,0,1,0.9545,0
"City Council Ethics Code Work Session - November 6, 2025 [VZRKugPc6QU]",198,5,4,-1,0,1,1,0.8,0
"City Council Meeting - July 8, 2025 [wfwoElJE10U]",71,13,12,-1,0,1,1,0.9231,0
"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_exclusive",130,24,23,-1,0,1,1,0.9583,0
"City Council Meeting - March 11, 2025 [fWjyrXs1ebs]_exclusive",179,57,58,1,1,0,1,0.9828,0
"City Council Meeting - March 11, 2025 [fWjyrXs1ebs]_standard",181,57,58,1,1,0,1,0.9828,0
"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]_standard",166,47,46,-1,0,1,1,0.9787,0
"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_exclusive",94,18,19,1,1,0,1,0.9474,0
"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",95,20,21,1,1,0,1,0.9524,0
"CSO Control Plan Public Meeting - April 3, 2025 [FfgtaEJ-0l4]",1,0,0,0,0,0,0,,1
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",242,36,36,0,0,0,0,1.0,1
"City Council Committee Meeting - August 11, 2025 [6DXgO59xzeU]_exclusive",68,14,14,0,0,0,0,1.0,1
"City Council Committee Meeting - August 11, 2025 [6DXgO59xzeU]_standard",68,15,15,0,0,0,0,1.0,1
"City Council Committee Meeting - August 19, 2025 [y43uOm0ct38]_exclusive",11,1,1,0,0,0,0,1.0,1
"City Council Committee Meeting - August 19, 2025 [y43uOm0ct38]_standard",11,1,1,0,0,0,0,1.0,1
"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",80,16,16,0,0,0,0,1.0,1
"City Council Committee Meeting - July 1, 2025 [GduwovKQ8ek]_exclusive",67,6,6,0,0,0,0,1.0,1
"City Council Committee Meeting - June 17, 2025 [e_aXcEkzyEY]_standard",46,9,9,0,0,0,0,1.0,1
"City Council Committee Meeting - September 16, 2025 [XzF6-XCVRFc]_exclusive",67,7,7,0,0,0,0,1.0,1
"City Council Committee Meeting - September 16, 2025 [XzF6-XCVRFc]_standard",65,7,7,0,0,0,0,1.0,1
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_exclusive",92,29,29,0,0,0,0,1.0,1
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",96,30,30,0,0,0,0,1.0,1
"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]",21,14,14,0,0,0,0,1.0,1
"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_exclusive",114,28,28,0,0,0,0,1.0,1
"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",114,28,28,0,0,0,0,1.0,1
"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",79,20,20,0,0,0,0,1.0,1
"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]_exclusive",86,8,8,0,0,0,0,1.0,1
"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]_standard",86,8,8,0,0,0,0,1.0,1
"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",129,24,24,0,0,0,0,1.0,1
"City Council Meeting - November 11, 2025 [X3DupuiqLts]",259,46,46,0,0,0,0,1.0,1
"City Council Meeting - November 25, 2025 [Re1Nhz9g1aM]",196,14,14,0,0,0,0,1.0,1
"City Council Meeting - September 23, 2025 [zwszv7wUGc0]",58,13,13,0,0,0,0,1.0,1
"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_exclusive",117,21,21,0,0,0,0,1.0,1
"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_standard",117,21,21,0,0,0,0,1.0,1
HARB Meeting March 4 2025 [jXEH5zsabJU],14,5,5,0,0,0,0,1.0,1
"Home Rule Transition Committee Meeting - July 29, 2025 [c0vXcHFIjvA]_exclusive",35,5,5,0,0,0,0,1.0,1
"Home Rule Transition Committee Meeting - July 29, 2025 [c0vXcHFIjvA]_standard",35,5,5,0,0,0,0,1.0,1
"Home Rule Transition Committee Meeting - October 29, 2025 [mPnWxdvDGQA]",53,1,1,0,0,0,0,1.0,1
"Planning Commission - August 6, 2025 [m50W4pVkNb4]_standard",221,44,44,0,0,0,0,1.0,1
"Planning Commission Meeting - October 15, 2025 [4rFO0GO6nwU]",3,0,0,0,0,0,0,,1
"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]_exclusive",275,50,50,0,0,0,0,1.0,1
"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]_standard",275,54,54,0,0,0,0,1.0,1
Planning Commission [vqNOsyBYp08],46,11,11,0,0,0,0,1.0,1
Press Conference - Data Center Community Benefits Agreement [WHN2o2S6X-Q],60,7,7,0,0,0,0,1.0,1
State of the City 2025 [UWLgfqUrmsk],1,0,0,0,0,0,0,,1
"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]_exclusive",192,33,33,0,0,0,0,1.0,1
"Water Transmission Mains Public Meeting - July 9, 2025 [fe0TavdWvEk]",5,0,0,0,0,0,0,,1
