meeting,block_id,votes,of,models_voting_yes,speaker,start,text_snippet
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",207,3,5,gemma-4-4b;phi-4;qwen3.5-9b-q6,UNKNOWN,4927.0,more different types of vendors that are selling not only food but can we have
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",208,2,5,phi-4;qwen3.5-9b-q6,SPEAKER_00,4931.7,cultural items also represented there that's one of the things we're also one
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",209,2,5,phi-4;qwen3.5-9b-q6,UNKNOWN,4937.28,of the areas is related to permitting for vendors that are selling alcohol and
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",212,1,5,gemma-4-4b,SPEAKER_00,4961.34,there's a couple of things that we can tweak that will continue to build but the easiest thing is getting more vendors there and we have the space for that and so that's really like the easiest thing like how can we invite more people and to increase those revenues thank you and that concludes my qu
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",213,1,5,ministral-8b,UNKNOWN,5070.32,increased travel and conference budget like what types of things are do you you have in mind or would you recommend for incoming new mayor and why is that
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",216,1,5,ministral-8b,SPEAKER_00,5146.34,Municipal League in which the future you know the mayor-elect Arroyo can decide
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",217,1,5,ministral-8b,UNKNOWN,5152.8,if they want to continue if he wants to continue to participate in that I did
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",223,3,5,phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,UNKNOWN,5448.02,the budget needs as as much you know kicking the tires looking under the hood
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",224,3,5,phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_00,5454.9,and so forth and then as I said you know meaningful action on the part of City council so just a question to city council if you guys do have ideas about further cuts or other amendments to the budget do you have a means of doing that within the time frame of getting it
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",226,2,5,gemma-4-4b;phi-4,SPEAKER_00,5488.66,um when will an updated budget be posted and is there a chance that we could also have a brief explanation of the changes maybe not a full red line but just something the public can see i believe it is posted um and i i um this is a good moment to say that you know we the administration the council 
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",228,1,5,gemma-4-4b,SPEAKER_00,5629.56,hearings happen before that official first read while we can't deliberate not in public we could go to the administration with our concerns suggestions questions and i agree that this is a reflection of those things that have happened so for what it's worth yeah and
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",236,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_00,7405.94,for also running a tight ship i know it's uh very impressive on what you're able to do um here in the city with so many moving pieces uh just one question regarding the drop in water consumption um my understanding is that we're looking at trends uh and i'm not sure if that work has been completed o
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",243,1,5,phi-4,SPEAKER_00,7624.6,Many of the staff that are on those sites now can do that work from their positions as laborers in in the in the water plants or the wastewater plant themselves and therefore we don't need to re have the parks staff do that work that park staff could go back to doing parks and stormwater management 
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",244,1,5,phi-4,UNKNOWN,7759.35,because my understanding yeah is that we you know have sale of those recyclable materials Can you just remind me what the expansion and the capacity is like are we gonna have double or triple?
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",245,1,5,phi-4,SPEAKER_00,7774.39,"and then or or you know, however percent increase and do we expect like a pretty"
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",246,1,5,phi-4,UNKNOWN,7783.34,Corollary relationship between the expansion like if we get double the op space we get double the recycle material Revenue or not necessarily not necessarily. Those are very good questions
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",247,1,5,phi-4,SPEAKER_00,7796.34,"That's part of what we're trying to trying to study it goes to not only what the current market is for recyclable recycling and recyclables, but what the surrounding Environment is as well. Laksam is very successful in how it does recycling work and the the trends are even though there's been a dipp"
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",248,2,5,gemma-4-4b;phi-4,UNKNOWN,7870.18,thank you that's helpful and then my other question kind of relates to an earlier question I had about like cost savings and I know we're very much at the outset of this so I understand if there's not many much in the way of answers right now I am curious though about the expansion of solar faciliti
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",251,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_00,7942.51,councilman Thank You mr. vice president Thank You director Campbell this presentation was very helpful and I know this question was probably exhausted many times but if we were to bring the water fund equity transfer to two million like it was in 2023 and 2024 what implications would that have on th
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",255,1,5,phi-4,SPEAKER_00,8193.57,to be able to really understand that and and understand all of the levers that
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",256,1,5,phi-4,UNKNOWN,8199.57,could be pushed or pulled to get the water fund to a place where those
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",257,2,5,gemma-4-4b;phi-4,SPEAKER_00,8204.25,transfers are happening I would say just to reiterate what director Tina Campbell mentioned council should consider this as an annual one-time thing for this moment to be able to get to this next piece of work does that help counselor yes I know I'm kind of kicking it forward but it's it's there's a
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",264,2,5,gemma-4-4b;phi-4,UNKNOWN,8419.48,things happen that aren't budgeted thank you and that's why it's important for us
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",270,4,5,ministral-8b;phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,UNKNOWN,8587.11,"TAXPAYERS, THOSE ARE DIFFERENT CLASSES."
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",272,4,5,ministral-8b;phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,UNKNOWN,8647.38,even though we are not looking at rate increases this year it seems like there's a prospect for weight increases the following year wondering if you could comment that and if you comment on that
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",277,2,5,ministral-8b;phi-4,SPEAKER_00,8788.15,possible so that we're if we have to do the rate increases we don't also have to do uh either an eit or a real estate tax increase that's all um regarding solid waste and recycling i recall that it was maybe three years ago uh there was a campaign to uh try to get people to be a little bit more disc
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",83,2,5,gemma-4-4b;phi-4,SPEAKER_00,1987.81,"thank you mr vice president and thank you director campbell for the presentation My only question is, with some of the additional staffing and the expenses increasing by roughly 10%, do we think that this will be at a level plateaued for the next couple years,"
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",85,1,5,gemma-4-4b,SPEAKER_00,2021.73,"Thank you, and that was my only question Thank You councillor men comes president. Thank you. Dr. Campbell. Thank you for being here and presenting for us tonight my questions around Permitting and consolidating and permitting. It's this comes up a lot when people talk to us about Frustrations with "
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",86,1,5,gemma-4-4b,UNKNOWN,2045.99,instead of having many disparate apart departments sort of oversee that bringing it together sounds like a good idea can you talk a little bit about some of like the benefit that we're hoping to
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",94,1,5,phi-4,UNKNOWN,2126.01,the direction of this being a little bit more consultative for folks and just trying so I know that it's difficult to navigate um I've run across it myself too so is the purpose to be like more consultative and help people in that process that is that part of it that is part of it I um I'll say a li
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",103,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_00,2307.77,you um i had two questions uh the first is just around the general goals of the additional hires
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",104,2,5,gemma-4-4b;phi-4,UNKNOWN,2314.27,particularly in hr and data and technology um can you just speak specifically i know a consultant recommended two additional hires in hr just wondering what the specific goals of those hires and same with it and the position that was added to treasury as well that would be my first question um we di
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",111,1,5,phi-4,SPEAKER_00,2422.65,of training that we need to be doing internal to the organization um related to hr man and management um people are complicated it turns out so this is a recommendation that is literally
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",112,1,5,phi-4,UNKNOWN,2436.25,two plus decades in the making and i'm strongly supporting it it was recommended in 2007 so thank you my second question I'm not sure if it should wholly go to you or to kind of a
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",113,1,5,phi-4,SPEAKER_00,2454.75,smattering of the of the directors but I did want to like highlight the bonuses that are listed in the personnel can you just explain broadly are those is it being run through the department director or is that you overseeing it are they incentive performance based or are they distributed among the 
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",117,2,5,gemma-4-4b;phi-4,SPEAKER_00,2598.32,still tbd we we this is something that that um there's been a lot of machinations about and it's probably going to continue okay thank you uh yes and appreciate the the brain trust coming together to try to solve try to solve this challenge so um and then the last question that i have is regarding u
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",118,1,5,phi-4,UNKNOWN,2623.68,of the uh strategy is around sponsorships fundraising securing grants for the city i know that you know taxes don't always cover um you know the expenses that we generate so just
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",119,1,5,phi-4,SPEAKER_00,2635.04,kind of curious about the strategy for 2026 raising funds through securing grants and what
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",124,3,5,gemma-4-4b;phi-4;qwen3.5-9b-q6,UNKNOWN,2686.16,over the next couple of years great thank you um any questions or comments from the public come on up good evening mr stu drier go ahead um a couple of comments and then a couple of questions um preface by saying um recognize that budgeting is a months-long process and listening to a 10-minute prese
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",125,1,5,gemma-4-4b,SPEAKER_00,2757.9,areas um i share um councilman hirsch's you know just concerns slash questions about number of positions on the one hand absolutely sounds like they're justified on the other hand positions always cost money and once positions get established can be very hard to claw them back number three with rega
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",126,4,5,ministral-8b;phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,UNKNOWN,2800.14,land development plan and then i have to go somewhere else to get my permit i have to go
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",128,3,5,phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,UNKNOWN,2858.94,it easier and faster to get built this reduces cost encourages development and provides communities
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",129,1,5,qwen3.5-9b-q6,SPEAKER_00,2863.76,with the homes they need without unnecessary and costly delays it also incentivizes small
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",130,1,5,qwen3.5-9b-q6,UNKNOWN,2868.98,developers and incremental development which helps the local economy yeah my
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",131,3,5,gemma-4-4b;phi-4;qwen3.5-9b-q6,SPEAKER_00,2876.97,question then is twofold number one reducing billing cycles from 17 to 4 is that something that city residents would be seeing would that change what they're experiencing terms of their billing it initially may change because the billing
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",183,1,5,gemma-4-4b,SPEAKER_00,3967.76,uh the permit function and building codes in particular i i think one answer is honestly uh the the amount of demand and and frankly complaints that we get about uh this as a city service is significant and i i really do think we need to focus on doing better here and doing better means that we're i
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",201,1,5,phi-4,SPEAKER_00,4444.89,point of contact for questions related to business that person also served as a connective tissue of sorts we have a really strong ecosystem of nonprofit organizations that focus on economic development but one of the things that has I've seen as being a challenge here is the city does not have a pe
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",209,1,5,gemma-4-4b,SPEAKER_00,4658.52,four percent of that is annual cost of living increases but you know in streamlining the Department of Planning or the Bureau of Planning some of those things are these going to just be one-time expenses other than the additional positions yes thank you for for clarifying I had taken down some
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",211,1,5,ministral-8b,SPEAKER_00,4743.7,revenues up 70 percent um i think that's great how do we continue to try to maximize that and what is the nature of some of those fees while i would like to come back every year and say that
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",215,2,5,gemma-4-4b;phi-4,SPEAKER_00,4786.0,"Thank you. And just lastly, I think the economic development manager would be great And I look forward to seeing that in the upcoming years and that concludes my questions. Thank you. Thank you very much My question is really just to clarify. I want to make sure I have it, right? So the position cha"
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",217,2,5,ministral-8b;phi-4,SPEAKER_00,4816.62,approved in the budget This is a very specialized position. So I assume there will be a period of time where it wouldn't necessarily be full
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",218,2,5,ministral-8b;phi-4,UNKNOWN,4825.24,"No, I wouldn't necessarily be filled and have you considered a job description for this role or is that something that you want to hold until the next administration i do actually have a draft of the job description"
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",227,2,5,gemma-4-4b;phi-4,SPEAKER_00,5005.08,perfect thank you counselor thank you um just one question uh i think you might have alluded to this in uh an answer that you gave counselor med um but who is conducting the review of the zoning in saldo and because i know we had talked about it being a consultant i think at one point is that still 
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",229,2,5,gemma-4-4b;phi-4,SPEAKER_00,5068.92,of the other zoning stuff we are dealing with right now but we it is a top priority for us thank you thank you councillor hirsch um director delves just a couple questions um regarding the healthy lives healthy lancaster initiatives i know we completed the assessment what's kind of been the outcome 
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",234,1,5,gemma-4-4b,UNKNOWN,5181.84,wellness and recreational programming for youth and families and older adults to foster that
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",237,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_00,5209.53,funding sources and set up the program to do that but I think that is like an exciting area of potential in the future okay thank you questions or comments from the public good evening is this on uh marshall miller 100th block of east fine street uh director delph thank you for the information tonig
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",243,2,5,gemma-4-4b;phi-4,SPEAKER_00,5334.7,and knock out those projects. Great. Thank you. That's really helpful. And then I wanted to follow up on the Bureau Chief of Permitting and kind of centralizing these processes. A complaint that I've heard repeatedly from folks who are trying to build in the city or just deal with permitting general
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",247,4,5,gemma-4-4b;phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_00,5412.51,a consultant i give uh credit we we've hired one permit coordinator kelly already and she's been serving that role and in some ways it's just she she can't get to everything and she's also not within a management structure yet and that's the purpose of the office i agree with you it is exciting and 
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",248,1,5,gemma-4-4b,UNKNOWN,5449.14,second what marshall said i've also heard concerns about um permitting and streamlining that and making it more transparent would be fantastic um on along the same lines um improving the building codes function would also be really i think important and and welcome so adding an official that sounds 
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",249,1,5,phi-4,SPEAKER_00,5490.66,and if all of them have been respected all of them should at least be led safe at this point not to
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",250,1,5,phi-4,UNKNOWN,5498.18,say we shouldn't continue it and continue systematic inspections but for example if I have say a 75% chance of getting inspected rather than a hundred percent chance of getting inspected I'm probably still gonna be on the up-and-up because that's still a pretty good chance doing a fair
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",251,1,5,phi-4,SPEAKER_00,5515.9,randomized inspection might be a way of being able to draw back that function a
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",254,1,5,gemma-4-4b,UNKNOWN,5543.14,respectfully I would urge council not to approve the creation of an economic
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",255,1,5,gemma-4-4b,SPEAKER_00,5547.92,development manager position as mr. Delv saluted we have multiple nonprofits in the city including Lancaster City Alliance EDC I believe there is a proposal to add a city chief of staff part of the city's chief of staff position that person could be a liaison with those nonprofits really personally 
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",258,2,5,gemma-4-4b;phi-4,UNKNOWN,5610.71,is 5.4 million um what was that extra expense due to and how was it offset and was any of that
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",259,1,5,phi-4,SPEAKER_00,5618.47,offset coming from reserves can you ask that question again tim because i just want to make
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",260,1,5,phi-4,UNKNOWN,5632.74,sure we had the years correct i'm looking at 2025 budget um as amended i'm seeing top line figure 4.9 million 2025 projected 5.437 million and i'm looking at the budget draft pdf from the website director campbell says we're going to have to take a look at that okay thank you okay good question thou
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",265,2,5,gemma-4-4b;ministral-8b,SPEAKER_00,5791.06,portion of the overall cost and the rest would be covered by cdbg right that's that's the intent okay i just was stating that because my one of my concerns you know as a member of the planning commission we're two years out from the comprehensive plan approval haven't made much progress on the zonin
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",267,1,5,phi-4,SPEAKER_00,5857.4,helpful to know a little bit more you know you kind of described it as sort of liaison liaising with non-profits i was just wondering if there's more kind of meat in that job description yeah i think there's a whole host of things that this position could do and haven't haven't flesh this out entire
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",268,1,5,phi-4,UNKNOWN,5881.99,you're right this person could play a very important role in serving as that
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",269,1,5,phi-4,SPEAKER_00,5887.59,connective tissue with the other organizations because uh there there are some questions for me about um is the city uh really steering and and driving um a lot of these initiatives in the way that we could be we have great relationships with those organizations they're doing a great job i also thin
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",270,2,5,phi-4;qwen3.5-9b-q6,UNKNOWN,5932.31,conversation with those organizations so far i can say that i work very very closely for lancaster city with lancaster city alliance and um you know we've got marshall and jeremy and i leadership levels doing a ton of work that could be happening at a staff level as well and it makes it very uh diff
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",271,3,5,gemma-4-4b;phi-4;qwen3.5-9b-q6,SPEAKER_00,5973.22,one of the consistent feedback that i've received that the city is can do a lot more to lean into small business support and navigating the amount of resources that exist within our community and also navigating some of the departments within city hall from a small business perspective so really app
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",272,1,5,qwen3.5-9b-q6,UNKNOWN,6008.42,that accomplished i know it was a heavy lift to get that program up and running building trust
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",277,1,5,gemma-4-4b,SPEAKER_00,6074.09,important but it may not be as focused on some of these issues like business assistance economic mobility workforce development and those are all areas that i see this position could focus on yeah
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",279,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_00,6092.65,something i'd like to see our city do more of is really do an analysis of what types of business are needed in our community as well which i could see this position kind of filling that gap um you
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",333,1,5,phi-4,SPEAKER_00,7272.43,the city is that part of it it's kind of a cost neutral when they when they respond outside we
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",334,1,5,phi-4,UNKNOWN,7277.63,we get a reimbursement which goes back into our our general fund line item for any cost and usually it's overtime cost and that goes right back in and if you look at the budget you'll see that there's some deposits in that through the cert team through the county through the south central
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",335,1,5,phi-4,SPEAKER_00,7295.71,task force and eventually once we partner with the federal uh the federal there's a little more money there that you can actually recoup the salary and the overtime got it so yeah thank you
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",379,1,5,gemma-4-4b,SPEAKER_00,8208.73,and all the fantastic work all the things that you listed the accreditation the incredible success with recruiting you've clearly done excellent work you and your team So I just wanted to commend you and and thank you for your service to the city. All right. Thank you Councillor Craig
