model,meeting,block_id_standard,block_id_exclusive,flagged_standard,flagged_exclusive,commenter_mates_standard,commenter_mates_exclusive,concordant
ministral-8b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",45,43,1,0,0,1,0
ministral-8b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",86,84,0,1,0,1,1
ministral-8b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",97,95,1,0,0,1,0
ministral-8b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",112,110,1,0,0,1,0
ministral-8b,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]",63,63,0,1,1,2,1
ministral-8b,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]",65,65,1,0,0,1,0
ministral-8b,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]",74,74,1,0,1,2,0
ministral-8b,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]",76,76,1,0,0,1,0
ministral-8b,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]",5,5,0,1,2,1,0
ministral-8b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",89,90,0,1,0,1,1
ministral-8b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",90,91,0,1,1,0,0
ministral-8b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",91,92,0,1,2,1,0
ministral-8b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",123,124,1,0,1,0,1
ministral-8b,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",70,71,1,0,0,1,0
ministral-8b,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",107,108,1,0,0,1,0
ministral-8b,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",111,112,1,0,0,1,0
ministral-8b,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",112,113,1,0,0,1,0
ministral-8b,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",75,74,1,0,0,1,0
ministral-8b,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",117,116,1,0,0,1,0
ministral-8b,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",119,118,0,1,1,0,0
ministral-8b,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",161,160,0,1,1,0,0
ministral-8b,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",163,162,0,1,0,1,1
ministral-8b,"City Council Meeting - May 13, 2025 [eDkBOrErMeE]",163,162,1,0,0,1,0
ministral-8b,"City Council Meeting - May 13, 2025 [eDkBOrErMeE]",183,182,1,0,0,1,0
ministral-8b,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",54,53,0,1,2,0,0
ministral-8b,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",55,54,0,1,2,1,0
ministral-8b,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",56,55,0,1,2,1,0
ministral-8b,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",69,68,0,1,1,0,0
ministral-8b,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",105,104,0,1,0,1,1
ministral-8b,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",112,111,0,1,0,1,1
ministral-8b,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",115,114,0,1,1,0,0
ministral-8b,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",116,115,0,1,1,0,0
ministral-8b,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",123,124,1,0,1,0,1
ministral-8b,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",125,126,1,0,1,0,1
ministral-8b,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",134,135,0,1,1,0,0
ministral-8b,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",139,140,1,0,0,1,0
ministral-8b,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",195,194,1,0,1,0,1
ministral-8b,"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",138,140,1,0,1,0,1
ministral-8b,"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",153,155,1,0,1,0,1
ministral-8b,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]",56,54,0,1,1,0,0
ministral-8b,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",112,110,1,0,2,1,1
ministral-8b,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",113,111,0,1,1,0,0
ministral-8b,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",154,153,1,0,0,1,0
ministral-8b,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",160,159,1,0,0,1,0
ministral-8b,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",162,161,1,0,0,1,0
ministral-8b,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",182,181,0,1,1,2,1
ministral-8b,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",183,182,1,0,0,1,0
phi-4,"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]",11,11,0,1,1,0,0
phi-4,"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]",48,50,1,0,1,0,1
phi-4,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",19,17,1,0,0,1,0
phi-4,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",33,31,0,1,1,0,0
phi-4,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",36,34,1,0,0,1,0
phi-4,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",86,84,0,1,0,1,1
phi-4,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",110,108,0,1,0,1,1
phi-4,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",127,125,0,1,0,1,1
phi-4,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",128,126,0,1,1,0,0
phi-4,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]",47,47,1,0,0,1,0
phi-4,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]",72,72,1,0,1,2,0
phi-4,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]",74,74,1,0,1,2,0
phi-4,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",90,91,0,1,1,0,0
phi-4,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",98,99,1,0,1,0,1
phi-4,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",70,71,1,0,0,1,0
phi-4,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",104,105,1,0,1,0,1
phi-4,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",107,108,1,0,0,1,0
phi-4,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",112,113,1,0,0,1,0
phi-4,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",55,54,1,0,0,1,0
phi-4,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",75,74,1,0,0,1,0
phi-4,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",105,104,0,1,1,0,0
phi-4,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",111,110,1,0,1,2,0
phi-4,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",117,116,0,1,0,1,1
phi-4,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",118,117,0,1,1,0,0
phi-4,"City Council Meeting - May 13, 2025 [eDkBOrErMeE]",183,182,1,0,0,1,0
phi-4,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",55,54,1,0,2,1,1
phi-4,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",57,56,1,0,0,2,0
phi-4,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",72,71,1,0,0,1,0
phi-4,"Home Rule Transition Committee Meeting - July 29, 2025 [c0vXcHFIjvA]",20,22,1,0,1,0,1
phi-4,"Home Rule Transition Committee Meeting - July 29, 2025 [c0vXcHFIjvA]",28,30,0,1,1,0,0
phi-4,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",108,107,1,0,1,0,1
phi-4,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",112,111,0,1,0,1,1
phi-4,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",113,112,0,1,0,1,1
phi-4,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",131,132,0,1,0,1,1
phi-4,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",132,133,0,1,1,2,1
phi-4,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",133,134,0,1,0,1,1
phi-4,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",134,135,0,1,1,0,0
phi-4,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",136,137,0,1,1,0,0
phi-4,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",139,140,1,0,0,1,0
phi-4,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",214,213,0,1,1,0,0
phi-4,"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",138,140,1,0,1,0,1
phi-4,"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",144,146,0,1,1,0,0
phi-4,"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",150,152,1,0,0,1,0
phi-4,"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",153,155,1,0,1,0,1
phi-4,"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",179,181,0,1,1,0,0
phi-4,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]",54,52,0,1,1,0,0
phi-4,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]",64,62,1,0,1,0,1
phi-4,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]",83,81,0,1,0,1,1
phi-4,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]",86,83,0,1,1,0,0
phi-4,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",112,110,1,0,2,1,1
phi-4,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",113,111,0,1,1,0,0
phi-4,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",155,154,0,1,1,2,1
phi-4,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",160,159,0,1,0,1,1
phi-4,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",161,160,0,1,1,2,1
phi-4,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",162,161,0,1,0,1,1
phi-4,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",166,165,0,1,1,0,0
phi-4,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",181,180,1,0,0,1,0
phi-4,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",182,181,0,1,1,2,1
phi-4,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",186,185,0,1,1,0,0
qwen3.5-9b-q6,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",12,10,1,0,1,0,1
qwen3.5-9b-q6,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",18,16,0,1,1,2,1
qwen3.5-9b-q6,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",24,22,1,0,1,0,1
qwen3.5-9b-q6,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",27,25,0,1,0,1,1
qwen3.5-9b-q6,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",28,26,0,1,0,1,1
qwen3.5-9b-q6,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",92,93,0,1,1,0,0
qwen3.5-9b-q6,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",93,94,0,1,0,1,1
qwen3.5-9b-q6,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",94,95,0,1,0,1,1
qwen3.5-9b-q6,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",111,112,1,0,0,1,0
qwen3.5-9b-q6,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",55,54,1,0,0,1,0
qwen3.5-9b-q6,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",115,114,0,1,0,1,1
qwen3.5-9b-q6,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",118,117,1,0,1,0,1
qwen3.5-9b-q6,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",119,118,1,0,1,0,1
qwen3.5-9b-q6,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",161,160,1,0,1,0,1
qwen3.5-9b-q6,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",163,162,1,0,0,1,0
qwen3.5-9b-q6,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",164,163,1,0,1,2,0
qwen3.5-9b-q6,"City Council Meeting - May 13, 2025 [eDkBOrErMeE]",183,182,1,0,0,1,0
qwen3.5-9b-q6,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",54,53,1,0,2,0,1
qwen3.5-9b-q6,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",57,56,0,1,0,2,1
qwen3.5-9b-q6,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",78,77,1,0,1,0,1
qwen3.5-9b-q6,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",112,111,0,1,0,1,1
qwen3.5-9b-q6,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",113,112,0,1,0,1,1
qwen3.5-9b-q6,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",125,126,1,0,1,0,1
qwen3.5-9b-q6,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",131,132,1,0,0,1,0
qwen3.5-9b-q6,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",132,133,1,0,1,2,0
qwen3.5-9b-q6,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",133,134,1,0,0,1,0
qwen3.5-9b-q6,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",135,136,0,1,1,0,0
qwen3.5-9b-q6,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",136,137,0,1,1,0,0
qwen3.5-9b-q6,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",214,213,1,0,1,0,1
qwen3.5-9b-q6,"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",163,165,1,0,1,0,1
qwen3.5-9b-q6,"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",187,189,1,0,1,0,1
qwen3.5-9b-q6,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]",64,62,1,0,1,0,1
qwen3.5-9b-q6,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",103,101,0,1,2,1,0
qwen3.5-9b-q6,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",112,110,1,0,2,1,1
qwen3.5-9b-q6,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",113,111,0,1,1,0,0
qwen3.5-9b-q6,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",114,112,0,1,0,1,1
qwen3.5-9b-q6,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",154,153,0,1,0,1,1
qwen3.5-9b-q6,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",155,154,0,1,1,2,1
qwen3.5-9b-q6,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",157,156,0,1,2,1,0
qwen3.5-9b-q6,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",162,161,1,0,0,1,0
qwen3.5-9b-q8,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",233,228,1,0,0,1,0
qwen3.5-9b-q8,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",234,229,1,0,2,1,1
qwen3.5-9b-q8,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",12,10,1,0,1,0,1
qwen3.5-9b-q8,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",18,16,0,1,1,2,1
qwen3.5-9b-q8,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",24,22,1,0,1,0,1
qwen3.5-9b-q8,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",27,25,0,1,0,1,1
qwen3.5-9b-q8,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",28,26,0,1,0,1,1
qwen3.5-9b-q8,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",33,31,0,1,1,0,0
qwen3.5-9b-q8,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",37,35,0,1,0,1,1
qwen3.5-9b-q8,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",45,43,0,1,0,1,1
qwen3.5-9b-q8,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",46,44,0,1,0,1,1
qwen3.5-9b-q8,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",92,93,0,1,1,0,0
qwen3.5-9b-q8,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",93,94,0,1,0,1,1
qwen3.5-9b-q8,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",94,95,0,1,0,1,1
qwen3.5-9b-q8,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",112,113,0,1,0,1,1
qwen3.5-9b-q8,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",55,54,1,0,0,1,0
qwen3.5-9b-q8,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",115,114,0,1,0,1,1
qwen3.5-9b-q8,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",118,117,1,0,1,0,1
qwen3.5-9b-q8,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",119,118,1,0,1,0,1
qwen3.5-9b-q8,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",150,149,0,1,2,0,0
qwen3.5-9b-q8,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",161,160,1,0,1,0,1
qwen3.5-9b-q8,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",163,162,1,0,0,1,0
qwen3.5-9b-q8,"City Council Meeting - May 13, 2025 [eDkBOrErMeE]",183,182,1,0,0,1,0
qwen3.5-9b-q8,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",57,56,0,1,0,2,1
qwen3.5-9b-q8,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",78,77,1,0,1,0,1
qwen3.5-9b-q8,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",105,104,0,1,0,1,1
qwen3.5-9b-q8,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",112,111,0,1,0,1,1
qwen3.5-9b-q8,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",113,112,0,1,0,1,1
qwen3.5-9b-q8,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",125,126,1,0,1,0,1
qwen3.5-9b-q8,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",131,132,1,0,0,1,0
qwen3.5-9b-q8,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",132,133,1,0,1,2,0
qwen3.5-9b-q8,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",133,134,1,0,0,1,0
qwen3.5-9b-q8,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",135,136,0,1,1,0,0
qwen3.5-9b-q8,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",136,137,0,1,1,0,0
qwen3.5-9b-q8,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",195,194,1,0,1,0,1
qwen3.5-9b-q8,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",214,213,1,0,1,0,1
qwen3.5-9b-q8,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",215,214,1,0,1,0,1
qwen3.5-9b-q8,"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",133,135,1,0,2,1,1
qwen3.5-9b-q8,"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",163,165,1,0,1,0,1
qwen3.5-9b-q8,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]",64,62,1,0,1,0,1
qwen3.5-9b-q8,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]",66,64,0,1,1,2,1
qwen3.5-9b-q8,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]",67,65,0,1,0,1,1
qwen3.5-9b-q8,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",103,101,0,1,2,1,0
qwen3.5-9b-q8,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",112,110,1,0,2,1,1
qwen3.5-9b-q8,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",113,111,0,1,1,0,0
qwen3.5-9b-q8,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",114,112,0,1,0,1,1
