condition,meeting,block_id,in_baseline,in_condition,speaker,start,word_count,text
A2_size3_off0_repeat,"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_standard",43,0,1,SPEAKER_12,3143.05,422,for sure is people just coming and enjoying the space it's a lot more open to people who are there to just relax and read or work with their ipads or their laptops it's just a much more open and lighting space we have more computer access than we did at the old building it's a much more open area al
A2_size3_off0_repeat,"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_standard",44,0,1,SPEAKER_03,3293.51,72,the building thank you so much it's it's always nice to hear about opportunities for spaces where people can just exist without the expectation to spend any money because we don't have any of those besides the library and that's why it's so valuable so thank you for that counselors any questions or 
A2_size3_off0_repeat,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",22,0,1,SPEAKER_11,1656.28,13,question you did give a timeline the project okay completion maybe okay thank
A2_size3_off0_repeat,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",33,1,0,SPEAKER_07,2024.85,58,over the two-year period that's a great question i don't think that that is part of the minor plan but it is on their property and so they would i mean as just part of it being your own parcel you would have to you would have to maintain it right so what can the public expect if
A2_size3_off0_repeat,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",41,1,0,SPEAKER_03,2187.9,83,this is this is just for remembering that the next meeting we will have a public hearing I wasn't sure if how frequently you guys have held public hearings and if you want some guidance on the process for that public hearing because there's different requirements that you would need to meet and beca
A2_size3_off0_repeat,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",67,0,1,SPEAKER_13,3230.02,74,as well um agreed i don't think we need a public hearing but and especially because i think the public may be confused about our role but i do think we should keep it as an agenda item possibly on that october first meeting for having it um still just to allow for it to be part of the conversation a
A2_size3_off0_repeat,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",68,0,1,SPEAKER_02,3260.53,310,i mean i think it needs to be something that we continue just again just just to be able to provide information to the public about what the city is doing i mean i think as uh lauren and as staff has already uh shared there there are irons in the fire um that the city is has responded to public inpu
B_size3_off1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",21,0,1,SPEAKER_12,1344.78,77,because of it thank you for presentation director Campbell I'm sure we'll get more to this in the March meeting in the first and second reading but can you just talk a little bit about the timeline of some of these projects and compared to the distribution of some of the funds through the disburseme
B_size3_off1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",32,1,0,SPEAKER_07,1783.13,89,well we're basically looking at the fact that this is we're looking at a debt and bond financing needs that's that's mostly what i'm looking at i know some of them are already we had already voted on that prior to or we're basically looking at in the future especially with the ep uh mandates that we
B_size3_off1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",36,1,0,SPEAKER_07,1942.8,54,to be my last question in regards to um these projects do we have anything included that was already added in regards to the grants is there any grants that we had added into this because i'm just trying to figure out what the difference between the debt and also the minus the grants
B_size3_off1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",42,1,0,SPEAKER_00,2110.33,208,know if you have anything you want to add yes thank you very very much this is this is to be able to do surface treatment of roadways that are shared by both Madheim Township and the city of Lancaster on Marshall Avenue between Lidditz Pike and and Juliet Avenue it's approximately 82% of the roadway
B_size3_off1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",55,0,1,SPEAKER_01,2672.41,95,and i will pass it over to jen thank you hopefully i didn't push the button all right uh thank you madam mayor and student castle i'm pleased to speak to you tonight about the community development block grant substantial amendment process hopefully my screen will continue to glow up there okay befo
B_size3_off1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",63,1,0,SPEAKER_12,3584.84,19,with the cdbg funds uh thank you and i look forward to working with you guys on the engagement
B_size3_off1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",64,0,1,SPEAKER_02,3591.11,43,around the 2026 23rd plan wonderful just a quick comment I'll say from voting on this item just because the organization that I work for assets is listed as an organization in the action plans same from voting thank you are there any
B_size3_off1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",66,1,0,SPEAKER_07,3623.64,20,is is that including some of the shelters does any of that funding go to any of the local shelters
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",12,1,0,SPEAKER_04,616.43,45,i have to say my name yes okay susie gomez 100 block of north reservoir street um are you filling in the position on a legal standpoint or are you filling in the position on a board member standpoint board member position just the board
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",28,0,1,SPEAKER_16,2157.1,61,point does that am I saying that accurately enough okay if you can talk a little bit about the budgetary impact in the individual funds and how from a budget from a financial planning and you know for the next five years how are these budgetary impacts also being looked at from a planning side yeah 
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",33,0,1,SPEAKER_09,2332.9,157,question um could perhaps go to either director campbell although um it's just a very general question and it is some of the projects that are listed in this i know are are not maintenance but they're extending the useful life of the assets so they're almost like rehabilitation and not repair so to 
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",36,1,0,SPEAKER_05,2591.29,109,director Stephen Campbell I want to kind of call back to something we've been talking about the last couple of years on council and it relates to what you were just mentioning as far as planning goes but I just could you just talk a little bit about the ways that we have been planning for like these
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",41,0,1,SPEAKER_15,2871.65,31,"Can I just make one quick correction to Councilor Diaz's question earlier? We had said it was $372 million. It's actually $391 million, so it was closer to the number. Yes."
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",57,1,0,SPEAKER_04,3200.48,15,weren't provided with the specifics just a list and they're asking those documents be destroyed
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",61,0,1,SPEAKER_03,3341.19,197,good evening health members i'm pleased to be here today to share in updating you all as director campbell mentioned on lancaster's urban forestry program this is an effort that continues to grow in both impact and engagement at the heart of this work is our new urban forester mike meyer who in just
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",65,1,0,SPEAKER_07,4011.4,490,in kind of two different ways uh the first one is process uh especially since i started i've been working with um various people within the city to make sure that we have a a good effective process for addressing these concerns like when a tree branch comes down or when someone needs to have assista
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",66,1,0,SPEAKER_06,4176.38,95,good way any other question or comment from in regards to replacing some of trees do you have like specific trees that you might have found that they're disease that need removal is there any issues I mean I know one particular one that has not been removed and it's causing especially when the wind 
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",72,1,0,SPEAKER_06,4389.29,69,"Is there any type of metrics or studies or any type of research that shows a particular tree or trees in general that have more susceptibility of becoming disease? I'm sure that there are particular ones, but I'm familiar only with a few trees. I'm not, I have allergies around this season, so trust "
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",81,1,0,SPEAKER_13,4917.19,16,project thank you um this is for the construction of three new single family attached dwellings
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",108,1,0,SPEAKER_06,5676.86,3,Puerto Rico citizen
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",30,1,0,SPEAKER_12,2169.41,39,reason why they want to demolish it is because they feel like it's not safe to try and pull two cars in there so i believe it's going to remain as a surface parking lot as far as i
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",38,0,1,SPEAKER_14,2316.07,80,question um if it were up to me i would probably you know if i could wave a magic wand me personally i would take uh traffic off of the west grant street portion by market but i do know that some box trucks do go through there every now and then are we OK with the height in light of that. I don't kn
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",61,0,1,SPEAKER_05,3249.77,362,"good evening council good evening mayor this is a culmination of a two-year project that I've been working on with the Lancaster County Emergency Management Agency and fellow municipal leaders in emergency management to update the county hazard mitigation plan. The original plan was written in 2019,"
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",62,1,0,SPEAKER_16,3417.3,38,thank you so much i do have a question for you would this be with the grants would that be in addition to the FEMA grants as well or is that all combined so there used to be
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",68,1,0,SPEAKER_05,3552.53,46,contracting with lebanon county and we actually had an incident since they took over that we've that we worked together on it went very seamless we don't see a difference so far but we're looking forward to the future thank you and that concludes my questions
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",69,1,0,SPEAKER_09,3572.8,38,was that the rotten eggs that was the rotten eggs yes just just so everybody knows there was an incident with the spill of rotten eggs so uh but that was our hazard incident it was nothing more
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",91,0,1,SPEAKER_02,4355.28,48,public why people can't do this already I mean like what about this bill makes this it people able to do it doesn't you know like why why do we need this bill so that people can do this is it federal federally not allowed state not allowed
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",5,0,1,SPEAKER_18,1072.88,484,um south queen street good evening good evening good evening to everyone and god bless everyone who is here today i'm uh reverend kevin polite the lead pastor of souls church incorporated of 415 south queen street lancaster city i want to thank you for the opportunity to address the board today in r
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",9,1,0,SPEAKER_10,1546.22,265,miss lopez good evening good evening jessica lopez manchester city first let me start by saying hi i hope everyone is having a good evening um i truly do appreciate the echo cause for the for council member diaz to resign and the outcry of accountability excuse you i'm talking Could we please have o
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",11,0,1,SPEAKER_10,1670.43,145,"Folks in the room, please. But where we do need that accountability from her, and yes, from our mayor, and from you, because you had your own issues like everybody else. So, where we do need accountability, let's not get lost in what actually brought us here. An attack on our youth, our black and br"
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",20,0,1,SPEAKER_14,1867.2,18,and i live on his in his property our polite estate in the 500 block of north street
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",36,1,0,SPEAKER_19,2525.5,240,i'm just finding my spot most recently counselor diaz attacked counselor ahmed's identity as a refugee and insinuated that he was incapable of holding out office because of his because of his background for racism xenophobia and islamophobia are not the representation that lincastrians deserve for t
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",38,0,1,SPEAKER_07,2650.47,479,"good evening good evening everyone hello good evening everyone my name is chandra damal thank Thank you for coming here today. I'm standing here today not just as a support of Janet Diaz, but as someone that knows her through her hard work and her lifelong commitment to this city and its people. Whe"
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",40,0,1,SPEAKER_07,2854.33,16,"She is a fighter, a servant, and a true leader for all of us. Thank you."
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",46,1,0,SPEAKER_14,3081.3,41,"Okay. I'll finish it up. Thank you. You are responsible for what you post on social media, so just be aware of that. think you do owe muslim women an apology thank you thank you mr harris our next speaker yes"
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",48,0,1,SPEAKER_13,3114.61,581,good evening thank you first of all i want to thank you council members i realize that you have a tough job some do it better than others some go out of their way some do not last year or the year before i believe it was a year before there was a situation going on in the city school district and i 
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",54,1,0,SPEAKER_09,3688.04,362,"Good evening. Thank you for giving me this opportunity to speak in front of you, and thank you for all that you do. This is my second or third time here. My apologies. I want to read something. Please do not disturb me. i don't know who you are but don't do that please continue your comments toward "
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",56,0,1,SPEAKER_10,3934.58,156,Jessica Lopez the felon with less felonies than our president huh so let me start by reminding you right that for the last five years I've been here more than every single one of yous in this room so we're user thick today I hope yous are thick in two weeks and I hope you're thick weeks after that b
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",73,1,0,SPEAKER_22,4596.88,345,thank you good evening daryl legacy 100 block of north mary again um i just want to make two points one i appreciate the statement of letting it happen at the ballot box and i i'm sure that counselor yes is not going to stand down so i think we're all going to have that so i think that's great that'
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",74,0,1,SPEAKER_03,4703.6,178,evening hello my name is taylor raymond i live on the 500 block of saint joseph street and i'm here for something not regarding ms diaz at all at previous meetings the administrative resolution 18 i was discussed regarding the disposition of certain police records we were told that it was just the p
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",75,1,0,SPEAKER_11,4782.93,54,thank you good evening good evening thank you for your time my name is ashley and i lived in lancaster for the past 16 years i'm here today to proudly support janet diaz i want to start by saying something important i hear your frustration i understand the pain ashley i'm sorry i don't
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",77,0,1,SPEAKER_11,4807.52,216,it thank you um i understand the pain especially from those in the muslim community who are hurting right now the injustice the discrimination it's real and your anger it's about it's valid but you're angry at the wrong person recently there have been hurtful and entirely false claims made against j
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",78,1,0,SPEAKER_14,4891.58,225,i'm sorry thank you for having me back i just want to address two things again my name is asia austin two things one um i keep hearing a lot of residents get up and discuss homelessness i just think for the record please please please please stop calling them homeless and please start calling them d
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",79,0,1,SPEAKER_07,4977.55,582,having thank you thank you good evening again um council members community of the members and my family that's here um lately people have been calling these meetings the janet show and i just heard of that some say with laughs some say with frustration but let's talk about what that really means bec
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",82,0,1,SPEAKER_01,5324.27,204,know how many times i have come here and told you guys that we need some upgrading at crystal park it hasn't been done we are going to open up the summer the west crystal volunteers are opening up the summer with mother's day i cannot secure safety in my neighborhood if the sockets are sticking out 
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",86,0,1,SPEAKER_23,5576.14,112,i did follow up with the administration um the mayor uh council president and director campbell uh director campbell did get back to me today and said that um he will get back to me on i did ask what was the status of the tickets um were there any um uh fines that were uh not waived but you know wer
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",90,1,0,SPEAKER_02,5727.06,100,"On Instagram. I mean, that's ludicrous. You're going by what somebody said or somebody posted, even if she didn't. Even if she didn't, let's say she did, right? Does that really matter? I mean, does that, excuse me, does that really matter to the point where, like the man said, the ballot box is goi"
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",92,0,1,SPEAKER_00,5918.18,5,"Council President, if I may."
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",9,1,0,SPEAKER_27,1031.08,464,my name is brett stanley living in mountainville but working in lancaster at an aerospace lab adjacent to mccaskey i was born here and grew up watching the farms and fields turned into shopping centers and authorized housing developments i was too young and distracted to care to do much about that s
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",18,1,0,SPEAKER_14,1583.76,555,good evening hi my name is sarah i'm from the 400 block of west frederick and like many people here i'm here to address the data center issue i spoke at the planning commission last week and mentioned that i hold a master's degree in international relations with an emphasis in sustainable developmen
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",24,1,0,SPEAKER_24,2312.0,236,our next speaker mr harris is dan weigel good evening uh dan weigel uh clarendon drive um as you may have noticed there's a petition going around um there's a petition going around in our community about the data center we have hundreds of signatures on it it's been in the news obviously this is a b
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",26,0,1,SPEAKER_24,2401.08,148,and storage they are not warehouses to mayor Sirachi and City Council must work with the public to pass a plan that insulates Lancaster residents from the negative effects of data centers for example price hikes for utilities low water pressure and rolling blackouts three city government must act wi
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",28,0,1,SPEAKER_24,2460.98,38,to you sitting up front i turn the question on you do you hear us and are you with us please raise your hands a bit higher please everyone on city council mayor sirachi do you hear us
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",31,1,0,SPEAKER_24,2557.46,16,and members of the city government thank you i look forward to your actions counselor craig
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",32,0,1,SPEAKER_23,2569.61,64,thank you council president um i am very interested in everything that everyone has to say but it's really difficult when someone's at the speaker and and i know you want to applaud them because what they're saying is good but if we can't hear them you know then i'm getting half half of what they're
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",38,0,1,SPEAKER_25,2771.21,596,speaker please our next speaker is jennifer siegel good evening hi my name is jennifer siegel but everyone here knows me as coral rights i live in marietta but i host events here in lancaster city and rely on people's willingness to travel to lancaster to pay my bills and most of my favorite people 
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",41,0,1,SPEAKER_08,3160.88,420,name is Christine Kennedy I live in the first block of Market Street in Lancaster Pennsylvania and I come today to tell a little bit about what I've learned and where I was wrong with some of the comments I made at the prior City council meeting some of those were I've learned that data centers are 
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",50,0,1,SPEAKER_29,3850.6,385,uh tony dash's 700 block in new holland avenue so what i signed up to talk about was actually parking um but i'm going to connect these two issues because you have some issues that web out over time the city has a parking issue it depends on how you look at it in what perspective that issue is maybe
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",54,1,0,SPEAKER_20,4028.91,610,"Thank you. So I have a couple points, a couple questions, and a charge to the council. So first, I wanna say that for those of us that were here I think it was maybe two city council meetings ago we heard the budget and all of the information about where our money is being spent you may have remembe"
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",58,0,1,SPEAKER_21,4377.06,14,you council president the economic development committee did not meet thank you finance committee
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",76,0,1,SPEAKER_11,4844.02,107,involved the sunny side thank you very much counselor craig i know we have uh director delphs coming uh to to address us this evening i want to thank you for being here in addition to your notes i would also add i think i recall that there was a lot of work done about community benefit for this envi
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",78,1,0,SPEAKER_11,5131.94,120,highlighting all of those all the pieces that it took to get us to this time I I know I am personally extremely excited for this development on Sunnyside a long dormant area in the city development has been difficult to crack and I am appreciative that this includes an element of preserving the natu
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",79,0,1,SPEAKER_22,5181.02,115,i missed you when i looked that way no worries thank you council president just wanted to make a comment i'm also very excited about this project i had a chance to partake on the hike maybe a few weeks ago a month ago and was very excited for someone who grew up in the southeast i'd never step foot 
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",81,1,0,SPEAKER_29,5227.17,254,forward to this project i think this is going to be a good investment in the environmental values our community is starting to stand behind but i also want to use this as an opportunity to kind of speak to when investment comes in one area we do have to be mindful of what occurs around it there's go
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",82,0,1,SPEAKER_13,5319.18,526,good evening council mayor sirachi thank you chris for the setup earlier i'm diana martin i'm the executive director of partners for environmental stewardship i'm also a proud resident of the city of lancaster it's one of the reasons i'm really passionate about this project on behalf of our organiza
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",105,1,0,SPEAKER_02,6080.55,125,"Thank you, Frank Arcolio, Old Trinity Place. I know I've been critical of the administration with respect to the data centers, but I believe in giving credit where credit is due and in order to be fair. I sat through a tremendously detailed presentation on the five-year plan for the Department of Pu"
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",107,0,1,SPEAKER_18,6144.36,359,comments for this Alexander King 600 block of North Shippen so kind of to play up Tony Dastro's comments I'd like to say parking management in the city is an unmitigated disaster it seems to be a sort of grassroots sort of thing which seems to be the dumbest way to plan anything I've lived in a lot 
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",108,1,0,SPEAKER_15,6278.43,299,good evening my name is Abby Haney I live on the 600 block of East Madison Street I didn't come here planning to speak I just wanted to listen I know I've been here talking about the data centers before and we had so many great people who showed up today to continue to advocate for action and so I r
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",110,0,1,SPEAKER_06,6390.44,673,thank you council president i i want to just echo what we have heard at the last couple council meetings and in conversations that i've been having in the community related to the data centers and just to reaffirm that we hear your concerns about water utilization air quality noise the permitting th
B_size3_off1,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",9,0,1,SPEAKER_04,815.41,66,to thank you for making this motion i think as many folks are probably here tonight for i think it's probably long overdue that we start considering um our zoning and what does it mean and how does it reflect the community that we want to build here so i'm looking forward to hearing the recommendati
B_size3_off1,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",12,1,0,SPEAKER_08,895.14,35,that comes out of this action would there be anyone from the core i think it's called core war data company that's going to be available to speak or answer any questions to the public
B_size3_off1,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",14,0,1,SPEAKER_08,941.12,4,That's all I have.
B_size3_off1,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",33,1,0,SPEAKER_11,1987.41,342,the 400 block of west frederick i'm probably going to end up yielding most of my time because you guys address a lot of our concerns so i'll just boil it down to three things number one i want to express appreciation for some of the things you announced tonight specifically codifying that there won'
B_size3_off1,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",47,0,1,SPEAKER_18,2692.96,490,"Good evening, first and only block of Wise Ave. I had some I changed up what I had said a little bit because of the things that you had spoke about earlier. So thank you for addressing the need for dialogue and starting the meeting that way. Our communities are thriving, diverse and deeply community"
